"GLIMS_ID"	"Latitude"	"Longitude"	"Type"	"M_Basin"	"Basin"	"Sub_basin"	"Area"	"Altitude"	"Dist_gr"	"Gr_fed"	"LithologyGLiM"	"GeologyHodgesYin"	"lake_ar"	"catchm_ar"	"glacier_ar"	"glac_cov"	"dist_lg"	"deb_ar"	"deb_cov"	"no_lakes_ctchm"	"Z_min"	"Z_q25"	"Z_q50"	"Z_mean"	"Z_q75"	"Z_max"	"Z_diff"	"mean_asp_ctchm"	"mean_slp_ctchm"	"mean_slp_250m"	"mean_slp_500m"	"mean_slp_1000m"	"no_eq_tot"	"eq_dep_min"	"eq_dep_q25"	"eq_dep_q50"	"eq_dep_mean"	"eq_dep_q75"	"eq_dep_max"	"no_eq_lt50km"	"no_eq_lt100km"	"no_eq_lt150km"	"no_eq_lt200km"	"no_eq_lt250km"	"no_eq_lt300km"	"no_eq_lt350km"	"no_eq_lt400km"	"eq_mag_min"	"eq_mag_q25"	"eq_mag_q50"	"eq_mag_mean"	"eq_mag_q75"	"eq_mag_max"	"no_eq_gtM25"	"no_eq_gtM30"	"no_eq_gtM35"	"no_eq_gtM40"	"no_eq_gtM45"	"no_eq_gtM50"	"no_eq_gtM55"	"no_eq_gtM60"	"no_eq_gtM65"	"no_eq_gtM70"	"no_eq_gtM75"	"Code"	"Major_Unit"	"bio1_lake"	"bio2_lake"	"bio3_lake"	"bio4_lake"	"bio5_lake"	"bio6_lake"	"bio7_lake"	"bio8_lake"	"bio9_lake"	"bio10_lake"	"bio11_lake"	"bio12_lake"	"bio13_lake"	"bio14_lake"	"bio15_lake"	"bio16_lake"	"bio17_lake"	"bio18_lake"	"bio19_lake"	"bio1_ctchm"	"bio2_ctchm"	"bio3_ctchm"	"bio4_ctchm"	"bio5_ctchm"	"bio6_ctchm"	"bio7_ctchm"	"bio8_ctchm"	"bio9_ctchm"	"bio10_ctchm"	"bio11_ctchm"	"bio12_ctchm"	"bio13_ctchm"	"bio14_ctchm"	"bio15_ctchm"	"bio16_ctchm"	"bio17_ctchm"	"bio18_ctchm"	"bio19_ctchm"	"GLOF"	"Date"
"4653"	"GL087632E28070N"	28.07	87.632	"M(o)"	"Ganga"	"Koshi"	"Arun"	0.018	5485	540	1	"Metamorphics"	"Greater Himalaya Zone"	18039	3054135	1361389	0.446	441	32509	0.024	1	5494	5655	5901	5945	6234	6597	1103	2.01	0.48	0.248287051117386	0.37803090852451	0.483652369912456	115	3.3	33	33	37.24	47.3	89.1	89	115	115	115	115	115	115	115	3.4	4.1	4.4	4.46	4.7	6.9	115	115	113	90	45	13	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-3.8	78	309	612.4	7.1	-18.1	25.2	4.4	-9.5	4.4	-11.9	2692	583	15	89	1707	64	1707	148	-4.76	78	309.2	614.15	6.21	-19	25.21	3.42	-10.45	3.42	-12.81	2613.1	564.4	15	88.6	1652.8	63.2	1652.8	144.3	0	NA
"4654"	"GL087633E27729N"	27.729	87.633	"M(e)"	"Ganga"	"Koshi"	"Arun"	0.036	4938	270	1	"Metamorphics"	"Greater Himalaya Zone"	35858	3439616	1056944	0.307	239	124269	0.118	0	4926	5020	5117	5175	5305	5722	796	-0.61	0.44	0.182938269360201	0.275472793258184	0.362342577437879	121	3.3	31.71	33	36.34	45.7	85.5	97	121	121	121	121	121	121	121	3.4	4.1	4.4	4.46	4.7	6.9	121	121	118	94	47	13	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-1.45	73	311	573.4	8.65	-14.85	23.42	6.15	-6.85	6.15	-8.95	2588.1	523.2	19	82.5	1493.6	73.8	1493.6	141.2	-2.35	73	311	574.15	7.77	-15.68	23.42	5.27	-7.71	5.27	-9.84	2926.4	604.6	19.6	85.4	1725.5	76.4	1725.5	146.7	0	NA
"4658"	"GL087634E28826N"	28.826	87.634	"M(o)"	"Brahmaputra"	"Yarlung Zangbo"	"Yarlung Zangbo"	0.019	5642	917.823486328	1	"Metamorphics"	"Tibetan Zone"	18588	3117312	569459	0.183	813	30984	0.054	0	5645	5811	5929	5913	6019	6213	568	1.58	0.45	0.355002782209401	0.450885693619732	0.459667020539504	86	4.44	11.19	33	34.46	42.56	89.1	68	86	86	86	86	86	86	86	3.4	4.1	4.35	4.42	4.6	6.2	86	86	83	71	30	10	2	1	0	0	0	"Tibetan Zone"	"Tibetan Zone"	-4.75	91	320	666.12	7.51	-20.85	28.3	4.15	-13.45	4.15	-13.69	628.8	230.9	1	146.6	657.1	3	657.1	5	-5.16	91	320.1	666.43	7.06	-21.25	28.3	3.71	-13.66	3.71	-14.14	686.8	247.5	1	144.7	705.9	3.1	705.9	5.2	0	NA
"4660"	"GL087636E27813N"	27.813	87.636	"M(o)"	"Ganga"	"Koshi"	"Arun"	0.012	5053	1361.94714355	1	"Metamorphics"	"Greater Himalaya Zone"	11533	3008040	125617	0.042	1806	886	0.007	1	5048	5190	5276	5292	5388	5631	583	1.52	0.32	0.207432651800135	0.185255984459975	0.231025820245983	125	3.3	31.7	33	36.1	45.7	85.5	100	125	125	125	125	125	125	125	3.4	4.1	4.4	4.45	4.7	6.9	125	125	122	96	47	12	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-1.6	74	310	582.3	8.7	-15.1	23.9	6.2	-7	6.2	-9.2	3250	659	19	85	1881	78	1881	166	-2.66	74	310	584.48	7.69	-16.2	23.89	5.12	-8.08	5.12	-10.29	3391.4	688.7	22.1	84	1963.2	87.9	1963.2	182.1	0	NA
"4661"	"GL087637E28185N"	28.185	87.637	"M(o)"	"Ganga"	"Koshi"	"Arun"	0.056	5617	0	1	"Metamorphics"	"Leucogranite"	56056	1648230	1030344	0.625	0	65025	0.063	1	5591	5805	5959	5937	6050	6496	905	1.12	0.42	0.576549907243631	0.525252549252557	0.428444025907424	110	3.3	33	33	37.11	46.75	89.1	86	110	110	110	110	110	110	110	3.4	4.1	4.4	4.48	4.77	6.9	110	110	107	86	45	15	4	2	1	0	0	"Greater Himalaya Leucogranite"	"Leucogranite"	-4.2	80	310	623.9	6.9	-18.8	25.8	4.1	-10	4.1	-12.5	1937	435	10	94	1301	42	1301	97	-5.04	80	310	624.57	6.16	-19.6	25.76	3.3	-10.82	3.3	-13.26	2144	479	11.4	93.1	1426.7	47.8	1426.7	109.9	0	NA
"4662"	"GL087638E28093N"	28.093	87.638	"M(e)"	"Ganga"	"Koshi"	"Arun"	0.697	5177	90	1	"Metamorphics"	"Greater Himalaya Zone"	697443	10058690	2855099	0.284	0	153760	0.054	0	5180	5363	5584	5669	5940	6597	1417	1.29	0.56	0.462303842704869	0.559713048563726	0.565991044241491	114	3.3	33	33	37.28	47.4	89.1	88	114	114	114	114	114	114	114	3.4	4.1	4.4	4.47	4.7	6.9	114	114	112	90	45	13	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-2.68	78	309	613.62	8.24	-17.08	25.3	5.45	-8.36	5.45	-10.86	1825.9	399.1	11.2	89.5	1178.1	46.5	1178.1	104.8	-3.92	78.1	309.3	614.87	7.05	-18.24	25.29	4.27	-9.6	4.27	-12.04	2244.5	480	13.9	87.6	1407.7	57.6	1407.7	130.1	0	NA
"4664"	"GL087640E28271N"	28.271	87.64	"M(o)"	"Ganga"	"Koshi"	"Arun"	0.017	5715	853.814941406	1	"Metamorphics"	"Greater Himalaya Zone"	16587	3141183	10375	0.003	1052	1915	0.185	0	5713	5796	5863	5868	5927	6149	436	-2.61	0.33	0.172944308408813	0.244239211045631	0.31616897884106	104	3.3	32.9	33	37.33	47.52	89.1	80	104	104	104	104	104	104	104	3.4	4.1	4.4	4.5	4.8	6.9	104	104	102	83	44	15	4	2	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-4.5	81	311	632.3	6.9	-19.3	26.2	4	-10.3	4	-12.9	1407	312	8	90	930	34	930	80	-5.01	81.5	311	632.59	6.38	-19.82	26.19	3.46	-10.84	3.46	-13.4	1411.4	322.3	8.2	92.7	959.8	34.3	959.8	78.1	0	NA
"4665"	"GL087641E28195N"	28.195	87.641	"M(e)"	"Ganga"	"Koshi"	"Arun"	0.519	5352	90	1	"Metamorphics"	"Leucogranite"	518937	10788612	4357052	0.404	65	87372	0.02	2	5352	5597	5782	5855	6096	6721	1369	1.33	0.48	0.537296383529651	0.559785246160432	0.52909518184994	109	3.3	33	33	37.15	47.1	89.1	85	109	109	109	109	109	109	109	3.4	4.1	4.4	4.48	4.8	6.9	109	109	106	85	45	15	4	2	1	0	0	"Greater Himalaya Leucogranite"	"Leucogranite"	-3.32	80	310	624.09	7.78	-18.02	25.8	4.98	-9.12	4.98	-11.62	1735.7	399.5	9	96.3	1196.2	37.7	1196.2	84.7	-4.86	80	310.1	625.35	6.32	-19.48	25.79	3.47	-10.66	3.47	-13.12	1993.2	452.2	10.5	94.6	1350.1	44	1350.1	100.5	0	NA
"4666"	"GL087641E28205N"	28.205	87.641	"M(e)"	"Ganga"	"Koshi"	"Arun"	0.019	5649	956.713134766	1	"Metamorphics"	"Leucogranite"	18877	7193912	2224812	0.309	949	97591	0.044	0	5648	5853	6000	6030	6161	6720	1072	1.68	0.46	0.34898809068526	0.271375708430885	0.31460102421195	109	3.3	33	33	37.15	47.1	89.1	85	109	109	109	109	109	109	109	3.4	4.1	4.4	4.48	4.8	6.9	109	109	106	85	45	15	4	2	1	0	0	"Greater Himalaya Leucogranite"	"Leucogranite"	-4.21	80	310	625.82	6.99	-18.9	25.81	4.1	-10.01	4.1	-12.51	1868.3	437.5	9	98.9	1312.4	38.1	1312.4	85.4	-5.56	80.3	310.5	627.86	5.69	-20.21	25.88	2.81	-11.39	2.81	-13.84	1960	453.7	9.9	96.6	1358.9	41.5	1358.9	94.8	0	NA
"4671"	"GL087648E28255N"	28.255	87.648	"M(l)"	"Ganga"	"Koshi"	"Arun"	0.015	5732	127.279220581	1	"Metamorphics"	"Greater Himalaya Zone"	14908	1867018	543033	0.291	41	9989	0.018	0	5731	5864	5943	5964	6073	6288	557	1.9	0.41	0.336662997018588	0.361872010129052	0.412815071802368	106	3.3	32.71	33	37.26	47.4	89.1	82	106	106	106	106	106	106	106	3.4	4.1	4.4	4.49	4.77	6.9	106	106	104	84	44	15	4	2	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-4.9	81	311	630.6	6.4	-19.7	26.1	3.5	-10.7	3.5	-13.3	1540	366	8	96	1090	34	1090	80	-5.28	81	311	631.34	6.03	-20.08	26.1	3.13	-11.14	3.13	-13.67	1562.7	367.9	8.4	95.6	1095.9	35.5	1095.9	82.2	0	NA
"4672"	"GL087650E27747N"	27.747	87.65	"M(e)"	"Ganga"	"Koshi"	"Arun"	0.055	5005	0	1	"Metamorphics"	"Greater Himalaya Zone"	54954	1678153	718331	0.428	0	101222	0.141	0	5006	5104	5177	5173	5251	5367	361	-2.06	0.35	0.357883794190486	0.390588123942844	0.363807116614192	121	3.3	31.71	33	36.34	45.7	85.5	97	121	121	121	121	121	121	121	3.4	4.1	4.4	4.46	4.7	6.9	121	121	118	94	47	13	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-1.88	73	310.6	575.56	8.22	-15.28	23.5	5.72	-7.28	5.72	-9.48	3177.3	655	21.6	84.5	1875.4	85.5	1875.4	167.4	-2.16	73	310.4	576.29	7.97	-15.56	23.53	5.47	-7.53	5.47	-9.73	3250.2	677.1	21.4	85.8	1939.9	84.3	1939.9	165.4	0	NA
"4675"	"GL087652E27703N"	27.703	87.652	"M(o)"	"Ganga"	"Koshi"	"Tamor"	0.012	4829	904.488830566	1	"Metamorphics"	"Greater Himalaya Zone"	11969	819563	22277	0.027	1318	0	0	0	4822	4940	5075	5163	5422	5693	871	1.7	0.5	0.500232213206856	0.502885468500745	0.484275121364429	120	3.3	31.71	33	36.37	45.83	85.5	96	120	120	120	120	120	120	120	3.4	4.1	4.4	4.47	4.7	6.9	120	120	117	93	47	13	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-1	73	311	569.6	9.1	-14.3	23.3	6.6	-6.3	6.6	-8.4	3355	726	17	92	2074	67	2074	134	-2.29	73	311.1	572.22	7.83	-15.53	23.37	5.33	-7.59	5.33	-9.7	3354.1	712.1	18.4	89.6	2032	73.3	2032	144.8	0	NA
"4680"	"GL087655E28253N"	28.253	87.655	"M(e)"	"Ganga"	"Koshi"	"Arun"	0.023	5643	814.984680176	1	"Metamorphics"	"Greater Himalaya Zone"	22845	5361265	973133	0.182	709	17573	0.018	2	5629	5796	5893	5906	6001	6286	657	1.88	0.42	0.300938423125124	0.311300155296815	0.375369410149923	106	3.3	32.71	33	37.26	47.4	89.1	82	106	106	106	106	106	106	106	3.4	4.1	4.4	4.49	4.77	6.9	106	106	104	84	44	15	4	2	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-4.4	81	311	630.8	6.9	-19.2	26.1	4	-10.3	4	-12.8	1470	368	7	102	1095	30	1095	70	-5.12	81	311	630.98	6.17	-19.92	26.09	3.28	-11	3.28	-13.51	1568.9	373.3	8.3	97	1112	35	1112	80.9	0	NA
"4681"	"GL087656E27702N"	27.702	87.656	"M(o)"	"Ganga"	"Koshi"	"Tamor"	0.032	4738	1263.21020508	1	"Metamorphics"	"Greater Himalaya Zone"	31784	1481488	22277	0.015	1650	0	0	1	4730	4833	4934	5022	5122	5691	961	1.35	0.45	0.385731077331487	0.431253229045578	0.446364926846888	120	3.3	31.71	33	36.37	45.83	85.5	96	120	120	120	120	120	120	120	3.4	4.1	4.4	4.47	4.7	6.9	120	120	117	93	47	13	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-1	73	311	569.6	9.1	-14.3	23.3	6.6	-6.3	6.6	-8.4	3355	726	17	92	2074	67	2074	134	-1.7	73	311.2	570.83	8.38	-14.97	23.34	5.91	-7	5.91	-9.11	3361.8	720	17.6	90.7	2055.3	70.2	2055.3	139.9	0	NA
"4683"	"GL087658E27771N"	27.771	87.658	"M(e)"	"Ganga"	"Koshi"	"Arun"	0.035	5016	201.246124268	1	"Metamorphics"	"Greater Himalaya Zone"	34705	1658454	613730	0.37	24	29519	0.048	0	5009	5170	5287	5285	5399	5644	635	-2.14	0.47	0.393846865820601	0.527030002405059	0.481538059529677	123	3.3	32.16	33	36.6	45.95	85.5	98	123	123	123	123	123	123	123	3.4	4.1	4.4	4.46	4.7	6.9	123	123	120	95	47	13	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-2.04	73	310	578.27	8.16	-15.48	23.65	5.62	-7.44	5.62	-9.64	3033.4	612.6	22	82.1	1757.7	86.5	1757.7	173.4	-2.53	73	310	579.04	7.7	-15.94	23.67	5.17	-7.93	5.17	-10.1	3127.8	639	21.8	83.4	1833.8	85.6	1833.8	171.5	0	NA
"4684"	"GL087658E28250N"	28.25	87.658	"M(o)"	"Ganga"	"Koshi"	"Arun"	0.017	5589	1207.47668457	1	"Metamorphics"	"Greater Himalaya Zone"	16989	6393469	973133	0.152	1146	17573	0.018	3	5593	5747	5868	5874	5968	6285	692	1.77	0.42	0.2205639806634	0.30896630903477	0.371679032603242	106	3.3	32.71	33	37.26	47.4	89.1	82	106	106	106	106	106	106	106	3.4	4.1	4.4	4.49	4.77	6.9	106	106	104	84	44	15	4	2	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-4.44	81	311	629.78	6.77	-19.24	26.1	3.93	-10.34	3.93	-12.84	1447.6	363.9	7	102.9	1081.7	29	1081.7	65.9	-5.01	81	311	630.81	6.27	-19.81	26.09	3.39	-10.89	3.39	-13.4	1551.9	373	8.1	98.1	1110.7	34	1110.7	78.5	0	NA
"4685"	"GL087659E27831N"	27.831	87.659	"M(o)"	"Ganga"	"Koshi"	"Arun"	0.028	5189	201.246124268	1	"Metamorphics"	"Greater Himalaya Zone"	28213	1777187	42801	0.024	565	5889	0.138	1	5187	5293	5403	5413	5512	5780	593	-1.98	0.46	0.327767913618981	0.347535809396088	0.465862484602864	124	3.3	32.38	33	36.4	45.83	85.5	99	124	124	124	124	124	124	124	3.4	4.1	4.4	4.46	4.7	6.9	124	124	121	96	48	12	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-2.83	74	310	585.88	7.56	-16.43	23.99	4.97	-8.23	4.97	-10.53	3313.8	677.2	20.9	84.1	1943.4	84.7	1943.4	178.4	-2.94	74	309.9	586.1	7.45	-16.52	23.97	4.86	-8.37	4.86	-10.62	3256.6	666	20.8	84.3	1912.5	83.8	1912.5	175.5	0	NA
"4687"	"GL087660E28236N"	28.236	87.66	"M(e)"	"Ganga"	"Koshi"	"Arun"	0.037	5590	814.984680176	1	"Metamorphics"	"Leucogranite"	36639	3456930	470063	0.136	728	26421	0.056	1	5587	5726	5822	5832	5914	6236	649	1.37	0.42	0.298041108486897	0.393346196145055	0.42293427872135	107	3.3	32.8	33	37.22	47.3	89.1	83	107	107	107	107	107	107	107	3.4	4.1	4.4	4.48	4.75	6.9	107	107	105	84	44	15	4	2	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-4.2	81	310	628.3	7.1	-19	26	4.2	-10	4.2	-12.5	1517	391	7	106	1162	29	1162	65	-4.83	81	310.8	629.1	6.45	-19.59	26.02	3.56	-10.65	3.56	-13.15	1593.2	391.8	7.8	101.3	1168	32.6	1168	74	0	NA
"4688"	"GL087661E27832N"	27.832	87.661	"M(o)"	"Ganga"	"Koshi"	"Arun"	0.016	5270	90	1	"Metamorphics"	"Greater Himalaya Zone"	15900	1060405	42801	0.04	398	5889	0.138	0	5246	5389	5470	5482	5563	5778	532	-2.02	0.49	0.404776495941639	0.40967944211055	0.496844612853112	124	3.3	32.38	33	36.4	45.83	85.5	99	124	124	124	124	124	124	124	3.4	4.1	4.4	4.45	4.7	6.9	124	124	121	96	47	12	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-2.9	74	310	586	7.5	-16.5	24	4.9	-8.3	4.9	-10.6	3314	677	21	84	1943	85	1943	179	-3	74	309.9	586.33	7.38	-16.6	23.98	4.8	-8.46	4.8	-10.7	3223.8	659.1	20.7	84.2	1893.7	83.3	1893.7	174.4	0	NA
"4689"	"GL087662E27781N"	27.781	87.662	"M(e)"	"Ganga"	"Koshi"	"Arun"	0.045	5013	450	1	"Metamorphics"	"Greater Himalaya Zone"	45446	1962513	446283	0.227	182	37719	0.085	0	5017	5112	5230	5237	5343	5646	629	-1.51	0.48	0.263344591533458	0.450601518875765	0.492139482220302	123	3.3	32.16	33	36.6	45.95	85.5	98	123	123	123	123	123	123	123	3.4	4.1	4.4	4.46	4.7	6.9	123	123	120	95	47	13	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-1.9	73	310	579.2	8.3	-15.4	23.7	5.8	-7.3	5.8	-9.5	2898	577	22	80	1657	87	1657	175	-2.36	73.3	310	579.81	7.88	-15.82	23.7	5.34	-7.76	5.34	-9.94	2948	593.9	21.5	81.5	1706.4	85.3	1706.4	172	0	NA
"4690"	"GL087662E27784N"	27.784	87.662	"M(e)"	"Ganga"	"Koshi"	"Arun"	0.012	5028	540	1	"Metamorphics"	"Greater Himalaya Zone"	12055	1516739	422401	0.278	417	22002	0.052	0	5020	5158	5275	5274	5368	5642	622	-2.04	0.51	0.414596845862139	0.476059852625941	0.499573930309593	124	3.3	31.71	33	36.39	45.83	85.5	99	124	124	124	124	124	124	124	3.4	4.1	4.4	4.46	4.7	6.9	124	124	121	96	48	13	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-2.04	73.7	310	579.55	8.23	-15.47	23.7	5.66	-7.44	5.66	-9.64	2873.4	564.4	22	78.6	1620.5	87.7	1620.5	178.5	-2.52	73.4	310	580.07	7.75	-15.95	23.7	5.18	-7.92	5.18	-10.09	2986.1	604	21.4	82.1	1735.8	84.9	1735.8	171.8	0	NA
"4693"	"GL087665E27844N"	27.844	87.665	"M(e)"	"Ganga"	"Koshi"	"Arun"	0.033	5157	324.499603271	1	"Metamorphics"	"Greater Himalaya Zone"	33373	2132390	228655	0.107	175	14854	0.065	0	5165	5251	5329	5341	5414	5687	522	0.1	0.44	0.292973530079472	0.366643371058755	0.444591774470499	125	3.3	32.61	33	36.37	45.7	85.5	100	125	125	125	125	125	125	125	3.4	4.1	4.4	4.45	4.7	6.9	125	125	122	97	48	12	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-2.6	74	310	587	7.8	-16.2	24	5.2	-8	5.2	-10.3	3108	630	20	84	1806	81	1806	171	-2.83	74.1	309.8	587.12	7.58	-16.44	24.01	4.98	-8.28	4.98	-10.53	3063.4	623.5	20	84	1789.7	80	1789.7	167.6	0	NA
"4696"	"GL087670E28279N"	28.279	87.67	"M(o)"	"Ganga"	"Koshi"	"Arun"	0.028	5633	742.158996582	1	"Metamorphics"	"Greater Himalaya Zone"	28236	2558012	283196	0.111	685	10766	0.038	2	5633	5719	5785	5793	5873	6066	433	1.42	0.36	0.18035396784885	0.264802267545243	0.339276572071272	104	3.3	32.9	33	37.35	47.52	89.1	80	104	104	104	104	104	104	104	3.4	4.1	4.4	4.5	4.8	6.9	104	104	102	83	44	15	4	2	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-4.2	81	311	631.5	7.1	-19.1	26.2	4.2	-10	4.2	-12.6	1385	369	6	108	1092	25	1092	57	-4.64	81.6	311	632.1	6.7	-19.51	26.2	3.78	-10.49	3.78	-13.02	1374.1	354.2	6.6	104.3	1048.8	27.5	1048.8	62.2	0	NA
"4697"	"GL087670E28821N"	28.821	87.67	"M(e)"	"Brahmaputra"	"Yarlung Zangbo"	"Yarlung Zangbo"	0.013	5607	904.488830566	1	"Metamorphics"	"Tibetan Zone"	12588	4972171	454161	0.091	774	8617	0.019	0	5608	5724	5816	5816	5902	6080	472	-1.76	0.43	0.307979400769499	0.385670307724921	0.438702303098909	84	4.44	10.92	33	33.84	42.33	89.1	67	84	84	84	84	84	84	84	3.4	4.1	4.3	4.4	4.6	6.2	84	84	81	69	27	9	2	1	0	0	0	"Tibetan Zone"	"Tibetan Zone"	-4.3	90	320	664.2	7.9	-20.4	28.3	4.6	-10.5	4.6	-13.2	694	234	1	137	672	4	672	8	-4.74	90.2	320.2	663.8	7.43	-20.82	28.24	4.08	-11.73	4.08	-13.64	725.4	248.1	1	138.6	711.5	3.7	711.5	7.2	0	NA
"4698"	"GL087672E27820N"	27.82	87.672	"M(o)"	"Ganga"	"Koshi"	"Arun"	0.03	5164	360	1	"Metamorphics"	"Greater Himalaya Zone"	29558	2546456	958969	0.377	253	72766	0.076	0	5161	5293	5375	5387	5464	5777	616	1.13	0.43	0.387506762695313	0.39012492883493	0.426123101322114	123	3.3	32.16	33	36.42	45.95	85.5	98	123	123	123	123	123	123	123	3.4	4.1	4.4	4.46	4.7	6.9	123	123	120	95	47	12	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-2.6	74	310	584.4	7.8	-16.1	23.9	5.2	-8	5.2	-10.2	3159	651	21	85	1877	83	1877	171	-2.86	74	310	584.57	7.52	-16.38	23.89	4.94	-8.28	4.94	-10.48	3189.8	655.1	21	84.6	1886.6	83.7	1886.6	173.4	0	NA
"4699"	"GL087673E27739N"	27.739	87.673	"M(l)"	"Ganga"	"Koshi"	"Tamor"	0.016	4846	1489.76513672	0	"Metamorphics"	"Greater Himalaya Zone"	15544	2561717	90700	0.035	1339	19042	0.21	0	4850	4943	5013	5039	5115	5370	520	0.75	0.31	0.150172401862811	0.227521504081196	0.238269410576364	121	3.3	31.71	33	36.34	45.7	85.5	97	121	121	121	121	121	121	121	3.4	4.1	4.4	4.46	4.7	6.9	121	121	118	94	47	13	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-1	73	311	573.1	9.1	-14.4	23.5	6.6	-6.4	6.6	-8.6	3078	684	15	95	1964	59	1964	116	-1.52	73	310.9	574.09	8.57	-14.92	23.49	6.08	-6.89	6.08	-9.08	3168.3	693.4	17	92.6	1989	66.8	1989	131.1	0	NA
"4701"	"GL087676E27817N"	27.817	87.676	"M(o)"	"Ganga"	"Koshi"	"Arun"	0.011	5030	371.079498291	1	"Metamorphics"	"Greater Himalaya Zone"	11498	3818423	1214573	0.318	227	99665	0.082	1	5011	5209	5311	5323	5423	5780	769	1.16	0.41	0.428564937465067	0.346676220819307	0.346862431338801	123	3.3	32.16	33	36.42	45.95	85.5	98	123	123	123	123	123	123	123	3.4	4.1	4.4	4.46	4.7	6.9	123	123	120	95	47	12	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-1.7	74	310	582.8	8.6	-15.3	23.9	6	-7.1	6	-9.4	2835	595	18	86	1725	73	1725	153	-2.64	74	310	584.22	7.71	-16.18	23.9	5.14	-8.07	5.14	-10.28	3100.8	641.4	20.2	85.1	1850.3	80.8	1850.3	167.9	0	NA
"4703"	"GL087679E27803N"	27.803	87.679	"M(o)"	"Ganga"	"Koshi"	"Tamor"	0.027	4951	127.279220581	1	"Metamorphics"	"Greater Himalaya Zone"	26920	3222378	1662647	0.516	84	242201	0.146	1	4937	5159	5266	5259	5362	5600	663	1.05	0.39	0.40966991992374	0.419058284694436	0.415686278450464	123	3.3	32.16	33	36.42	45.95	85.5	98	123	123	123	123	123	123	123	3.4	4.1	4.4	4.46	4.7	6.9	123	123	120	95	47	12	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-1.6	74	310	581.1	8.7	-15.1	23.8	6.1	-7	6.1	-9.2	2914	624	19	87	1808	75	1808	154	-2.41	74	310	582.56	7.92	-15.91	23.84	5.35	-7.81	5.35	-10.01	3067.9	637.8	20.3	85.1	1839.8	81	1839.8	167.3	0	NA
"4707"	"GL087685E27779N"	27.779	87.685	"M(e)"	"Ganga"	"Koshi"	"Tamor"	0.016	4857	630	1	"Metamorphics"	"Greater Himalaya Zone"	15685	3491255	998567	0.286	438	44806	0.045	0	4860	5062	5189	5190	5296	5643	783	0.69	0.44	0.402288180026674	0.348620353670916	0.402426908831918	122	3.3	31.93	33	36.33	45.53	85.5	98	122	122	122	122	122	122	122	3.4	4.1	4.4	4.46	4.7	6.9	122	122	119	95	47	13	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-0.8	73	310	577.1	9.3	-14.3	23.7	6.8	-6.2	6.8	-8.4	2462	533	15	90	1537	59	1537	118	-2.12	73.1	310	578.74	8.09	-15.58	23.66	5.55	-7.5	5.55	-9.69	2916.3	618	18.4	88	1779	72.4	1779	144.8	0	NA
"4711"	"GL087693E27889N"	27.889	87.693	"M(o)"	"Ganga"	"Koshi"	"Arun"	0.032	5144	1006.23059082	1	"Metamorphics"	"Greater Himalaya Zone"	32223	12458564	4476584	0.359	883	701132	0.157	1	5144	5382	5578	5582	5752	6358	1214	-2.43	0.48	0.271068404028904	0.366287361807313	0.397965190885766	122	3.3	31.93	33	36.2	45.53	85.5	98	122	122	122	122	122	122	122	3.4	4.1	4.4	4.45	4.7	6.9	122	122	119	94	46	12	3	1	1	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-2.37	75	310	590.56	8.13	-16.17	24.2	5.43	-7.87	5.43	-10.17	3101.7	651.5	19.8	87	1887.2	78.2	1887.2	164.4	-3.68	75	309.1	591.99	6.84	-17.4	24.22	4.18	-9.18	4.18	-11.42	3061.7	641.6	18.9	86.5	1861	75.9	1861	162.3	0	NA
